Date	Traffic
janv-63	1750
févr-63	1560
mars-63	1820
avr-63	2090
mai-63	1910
juin-63	2410
juil-63	3140
août-63	2850
sept-63	2090
oct-63	1850
nov-63	1680
déc-63	2420
janv-64	1710
févr-64	1600
mars-64	1800
avr-64	2120
mai-64	2100
juin-64	2460
juil-64	3200
août-64	2960
sept-64	2190
oct-64	1870
nov-64	1770
déc-64	2270
janv-65	1670
févr-65	1640
mars-65	1770
avr-65	2190
mai-65	2020
juin-65	2610
juil-65	3190
août-65	2860
sept-65	2140
oct-65	1870
nov-65	1760
déc-65	2360
janv-66	1810
févr-66	1640
mars-66	1860
avr-66	1990
mai-66	2110
juin-66	2500
juil-66	3030
août-66	2900
sept-66	2160
oct-66	1940
nov-66	1750
déc-66	2330
janv-67	1850
févr-67	1590
mars-67	1880
avr-67	2210
mai-67	2110
juin-67	2480
juil-67	2880
août-67	2670
sept-67	2100
oct-67	1920
nov-67	1670
déc-67	2520
janv-68	1834
févr-68	1792
mars-68	1860
avr-68	2138
mai-68	2115
juin-68	2485
juil-68	2581
août-68	2689
sept-68	2038
oct-68	1936
nov-68	1734
déc-68	2391
janv-69	1798
févr-69	1850
mars-69	1981
avr-69	2085
mai-69	2120
juin-69	2491
juil-69	2834
août-69	2725
sept-69	1932
oct-69	2085
nov-69	1856
déc-69	2553
janv-70	1854
févr-70	1823
mars-70	2005
avr-70	2418
mai-70	2219
juin-70	2722
juil-70	2912
août-70	2771
sept-70	2153
oct-70	2136
nov-70	1910
déc-70	2537
janv-71	2008
févr-71	1835
mars-71	2120
avr-71	2304
mai-71	2264
juin-71	2175
juil-71	2928
août-71	2738
sept-71	2178
oct-71	2137
nov-71	2009
déc-71	2546
janv-72	2084
févr-72	2034
mars-72	2152
avr-72	2522
mai-72	2318
juin-72	2684
juil-72	2971
août-72	2759
sept-72	2267
oct-72	2152
nov-72	1978
déc-72	2723
janv-73	2081
févr-73	2112
mars-73	2279
avr-73	2661
mai-73	2281
juin-73	2929
juil-73	3089
août-73	2803
sept-73	2296
oct-73	2210
nov-73	2135
déc-73	2862
janv-74	2223
févr-74	2248
mars-74	2421
avr-74	2710
mai-74	2505
juin-74	3021
juil-74	3327
août-74	3044
sept-74	2607
oct-74	2525
nov-74	2160
déc-74	2876
janv-75	2481
févr-75	2428
mars-75	2596
avr-75	2923
mai-75	2795
juin-75	3287
juil-75	3598
août-75	3118
sept-75	2875
oct-75	2754
nov-75	2588
déc-75	3266
janv-76	2667
févr-76	2668
mars-76	2804
avr-76	2806
mai-76	2976
juin-76	3430
juil-76	3705
août-76	3053
sept-76	2764
oct-76	2802
nov-76	2707
déc-76	3307
janv-77	2706
févr-77	2586
mars-77	2796
avr-77	2978
mai-77	3053
juin-77	3468
juil-77	3649
août-77	3095
sept-77	2839
oct-77	2966
nov-77	2868
déc-77	3375
janv-78	2820
févr-78	2857
mars-78	3306
avr-78	3333
mai-78	3141
juin-78	3512
juil-78	3744
août-78	3179
sept-78	2984
oct-78	2950
nov-78	2896
déc-78	3611
janv-79	3313
févr-79	2644
mars-79	2872
avr-79	3267
mai-79	3391
juin-79	3682
juil-79	3937
août-79	3284
sept-79	2849
oct-79	3085
nov-79	3043
déc-79	3541
janv-80	2848
févr-80	2913
mars-80	3248
avr-80	3250
mai-80	3375
juin-80	3640
juil-80	3771
août-80	3259
sept-80	3206
oct-80	3269
nov-80	3181
déc-80	4008
