trafic sncf entre 1963 et 1980;;;;;;;;;;;;;;;;
;JAN;FEB;MAR;AVR;MAI;JUN;JUL;AOU;SEP;OCT;NOV;DEC;;;Date;Traffic
1963;1750;1560;1820;2090;1910;2410;3140;2850;2090;1850;1680;2420;;;janv-63;1750
1964;1710;1600;1800;2120;2100;2460;3200;2960;2190;1870;1770;2270;;;f‚vr-63;1560
1965;1670;1640;1770;2190;2020;2610;3190;2860;2140;1870;1760;2360;;;mars-63;1820
1966;1810;1640;1860;1990;2110;2500;3030;2900;2160;1940;1750;2330;;;avr-63;2090
1967;1850;1590;1880;2210;2110;2480;2880;2670;2100;1920;1670;2520;;;mai-63;1910
1968;1834;1792;1860;2138;2115;2485;2581;2689;2038;1936;1734;2391;;;juin-63;2410
1969;1798;1850;1981;2085;2120;2491;2834;2725;1932;2085;1856;2553;;;juil-63;3140
1970;1854;1823;2005;2418;2219;2722;2912;2771;2153;2136;1910;2537;;;ao–t-63;2850
1971;2008;1835;2120;2304;2264;2175;2928;2738;2178;2137;2009;2546;;;sept-63;2090
1972;2084;2034;2152;2522;2318;2684;2971;2759;2267;2152;1978;2723;;;oct-63;1850
1973;2081;2112;2279;2661;2281;2929;3089;2803;2296;2210;2135;2862;;;nov-63;1680
1974;2223;2248;2421;2710;2505;3021;3327;3044;2607;2525;2160;2876;;;d‚c-63;2420
1975;2481;2428;2596;2923;2795;3287;3598;3118;2875;2754;2588;3266;;;janv-64;1710
1976;2667;2668;2804;2806;2976;3430;3705;3053;2764;2802;2707;3307;;;f‚vr-64;1600
1977;2706;2586;2796;2978;3053;3468;3649;3095;2839;2966;2868;3375;;;mars-64;1800
1978;2820;2857;3306;3333;3141;3512;3744;3179;2984;2950;2896;3611;;;avr-64;2120
1979;3313;2644;2872;3267;3391;3682;3937;3284;2849;3085;3043;3541;;;mai-64;2100
1980;2848;2913;3248;3250;3375;3640;3771;3259;3206;3269;3181;4008;;;juin-64;2460
;;;;;;;;;;;;;;;juil-64;3200
;;;;;;;;;;;;;;;ao–t-64;2960
trafic sncf entre 1975 et 1980 - donn‚es trimestrielles;;;;;;;;;;;;;;;sept-64;2190
;;;;;;;;;;;;;;;oct-64;1870
;xt;;;;;;;;;;;;;;nov-64;1770
S1-70;5682;;;;;;;;;;;;;;d‚c-64;2270
S2-70;7359;;;;;;;;;;;;;;janv-65;1670
S3-70;7836;;;;;;;;;;;;;;f‚vr-65;1640
S4-70;6583;;;;;;;;;;;;;;mars-65;1770
S1-71;5963;;;;;;;;;;;;;;avr-65;2190
S2-71;6743;;;;;;;;;;;;;;mai-65;2020
S3-71;7844;;;;;;;;;;;;;;juin-65;2610
S4-71;6692;;;;;;;;;;;;;;juil-65;3190
S1-72;6270;;;;;;;;;;;;;;ao–t-65;2860
S2-72;7524;;;;;;;;;;;;;;sept-65;2140
S3-72;7997;;;;;;;;;;;;;;oct-65;1870
S4-72;6853;;;;;;;;;;;;;;nov-65;1760
S1-73;6472;;;;;;;;;;;;;;d‚c-65;2360
S2-73;7871;;;;;;;;;;;;;;janv-66;1810
S3-73;8188;;;;;;;;;;;;;;f‚vr-66;1640
S4-73;7207;;;;;;;;;;;;;;mars-66;1860
S1-74;6892;;;;;;;;;;;;;;avr-66;1990
S2-74;8236;;;;;;;;;;;;;;mai-66;2110
S3-74;8978;;;;;;;;;;;;;;juin-66;2500
S4-74;7561;;;;;;;;;;;;;;juil-66;3030
S1-75;7505;;;;;;;;;;;;;;ao–t-66;2900
S2-75;9005;;;;;;;;;;;;;;sept-66;2160
S3-75;9591;;;;;;;;;;;;;;oct-66;1940
S4-75;8608;;;;;;;;;;;;;;nov-66;1750
S1-76;8139;;;;;;;;;;;;;;d‚c-66;2330
S2-76;9212;;;;;;;;;;;;;;janv-67;1850
S3-76;9522;;;;;;;;;;;;;;f‚vr-67;1590
S4-76;8816;;;;;;;;;;;;;;mars-67;1880
S1-77;8088;;;;;;;;;;;;;;avr-67;2210
S2-77;9499;;;;;;;;;;;;;;mai-67;2110
S3-77;9583;;;;;;;;;;;;;;juin-67;2480
S4-77;9209;;;;;;;;;;;;;;juil-67;2880
S1-78;8983;;;;;;;;;;;;;;ao–t-67;2670
S2-78;9986;;;;;;;;;;;;;;sept-67;2100
S3-78;9907;;;;;;;;;;;;;;oct-67;1920
S4-78;9457;;;;;;;;;;;;;;nov-67;1670
;;;;;;;;;;;;;;;d‚c-67;2520
;;;;;;;;;;;;;;;janv-68;1834
;;;;;;;;;;;;;;;f‚vr-68;1792
;;;;;;;;;;;;;;;mars-68;1860
;;;;;;;;;;;;;;;avr-68;2138
;;;;;;;;;;;;;;;mai-68;2115
;;;;;;;;;;;;;;;juin-68;2485
;;;;;;;;;;;;;;;juil-68;2581
;;;;;;;;;;;;;;;ao–t-68;2689
;;;;;;;;;;;;;;;sept-68;2038
;;;;;;;;;;;;;;;oct-68;1936
;;;;;;;;;;;;;;;nov-68;1734
;;;;;;;;;;;;;;;d‚c-68;2391
;;;;;;;;;;;;;;;janv-69;1798
;;;;;;;;;;;;;;;f‚vr-69;1850
;;;;;;;;;;;;;;;mars-69;1981
;;;;;;;;;;;;;;;avr-69;2085
;;;;;;;;;;;;;;;mai-69;2120
;;;;;;;;;;;;;;;juin-69;2491
;;;;;;;;;;;;;;;juil-69;2834
;;;;;;;;;;;;;;;ao–t-69;2725
;;;;;;;;;;;;;;;sept-69;1932
;;;;;;;;;;;;;;;oct-69;2085
;;;;;;;;;;;;;;;nov-69;1856
;;;;;;;;;;;;;;;d‚c-69;2553
;;;;;;;;;;;;;;;janv-70;1854
;;;;;;;;;;;;;;;f‚vr-70;1823
;;;;;;;;;;;;;;;mars-70;2005
;;;;;;;;;;;;;;;avr-70;2418
;;;;;;;;;;;;;;;mai-70;2219
;;;;;;;;;;;;;;;juin-70;2722
;;;;;;;;;;;;;;;juil-70;2912
;;;;;;;;;;;;;;;ao–t-70;2771
;;;;;;;;;;;;;;;sept-70;2153
;;;;;;;;;;;;;;;oct-70;2136
;;;;;;;;;;;;;;;nov-70;1910
;;;;;;;;;;;;;;;d‚c-70;2537
;;;;;;;;;;;;;;;janv-71;2008
;;;;;;;;;;;;;;;f‚vr-71;1835
;;;;;;;;;;;;;;;mars-71;2120
;;;;;;;;;;;;;;;avr-71;2304
;;;;;;;;;;;;;;;mai-71;2264
;;;;;;;;;;;;;;;juin-71;2175
;;;;;;;;;;;;;;;juil-71;2928
;;;;;;;;;;;;;;;ao–t-71;2738
;;;;;;;;;;;;;;;sept-71;2178
;;;;;;;;;;;;;;;oct-71;2137
;;;;;;;;;;;;;;;nov-71;2009
;;;;;;;;;;;;;;;d‚c-71;2546
;;;;;;;;;;;;;;;janv-72;2084
;;;;;;;;;;;;;;;f‚vr-72;2034
;;;;;;;;;;;;;;;mars-72;2152
;;;;;;;;;;;;;;;avr-72;2522
;;;;;;;;;;;;;;;mai-72;2318
;;;;;;;;;;;;;;;juin-72;2684
;;;;;;;;;;;;;;;juil-72;2971
;;;;;;;;;;;;;;;ao–t-72;2759
;;;;;;;;;;;;;;;sept-72;2267
;;;;;;;;;;;;;;;oct-72;2152
;;;;;;;;;;;;;;;nov-72;1978
;;;;;;;;;;;;;;;d‚c-72;2723
;;;;;;;;;;;;;;;janv-73;2081
;;;;;;;;;;;;;;;f‚vr-73;2112
